epoch,loss,masked_acc,val_loss,val_masked_acc
0,4.499846458435059,0.29112762212753296,3.5794777870178223,0.39317062497138977
1,3.0152649879455566,0.47209471464157104,2.4563801288604736,0.5501970052719116
2,1.9910701513290405,0.6259527206420898,1.6388437747955322,0.6844109892845154
3,1.3532726764678955,0.7302548885345459,1.2418614625930786,0.7499982714653015
4,1.0094434022903442,0.788074791431427,1.0146381855010986,0.7903339266777039
5,0.8033080101013184,0.8240911364555359,0.8840807676315308,0.8147017955780029
6,0.6663580536842346,0.8489047288894653,0.8006705045700073,0.8296982049942017
7,0.5707665681838989,0.8667035698890686,0.740372359752655,0.8431633114814758
8,0.4967498481273651,0.8817480802536011,0.7094355821609497,0.8482946753501892
9,0.4408787488937378,0.8931872248649597,0.6744392514228821,0.8563406467437744
10,0.3943870961666107,0.903167188167572,0.646868109703064,0.8637025356292725
11,0.36015594005584717,0.9102122187614441,0.6351591348648071,0.8664825558662415
12,0.3257337808609009,0.9180924892425537,0.6250800490379333,0.8689867854118347
13,0.29879230260849,0.9240052103996277,0.6083011031150818,0.8739566206932068
14,0.27800682187080383,0.9286164045333862,0.6057213544845581,0.8760305643081665
15,0.25611603260040283,0.9335790872573853,0.5974087715148926,0.8785765767097473
16,0.2376352995634079,0.9377701878547668,0.5982866287231445,0.8787923455238342
17,0.2241494208574295,0.9407557845115662,0.5916505455970764,0.881615161895752
18,0.20765404403209686,0.9449335932731628,0.5929713249206543,0.882685124874115
19,0.19536593556404114,0.9477341771125793,0.5920550227165222,0.8840188384056091
20,0.18821048736572266,0.9493032693862915,0.5919559001922607,0.8848089575767517
21,0.17366242408752441,0.952892541885376,0.5930216312408447,0.8857396841049194
22,0.16234970092773438,0.9557059407234192,0.5997233390808105,0.8858762383460999
23,0.15537238121032715,0.957127034664154,0.6129991412162781,0.8838125467300415
24,0.14836882054805756,0.9589917063713074,0.5961318612098694,0.8883578181266785
25,0.13729344308376312,0.9618479609489441,0.6010333299636841,0.8885546922683716
26,0.13307972252368927,0.9627180695533752,0.6174445748329163,0.8865757584571838
27,0.12624883651733398,0.9644354581832886,0.619337797164917,0.8866485357284546
28,0.12809282541275024,0.9634218215942383,0.6039941906929016,0.8914353251457214
29,0.11086326837539673,0.9685184955596924,0.6140313148498535,0.8905074000358582
